Year,Coal,Gas,Oil,Renewable
1980,14.53,0.58,4.12,0.59
1981,14.48,0.52,3.94,0.67
1982,15.27,0.44,3.89,0.76
1983,16.19,0.50,3.97,0.89
1984,17.77,0.50,4.06,0.89
1985,18.53,0.53,4.29,0.95
1986,19.08,0.56,4.36,0.97
1987,20.17,0.57,4.58,1.02
1988,21.57,0.58,4.90,1.09
1989,21.34,0.58,5.10,1.18
1990,24.30,0.57,4.91,1.27
1991,21.61,0.59,5.11,1.27
1992,22.35,0.59,5.65,1.33
1993,23.89,0.62,6.26,1.51
1994,25.68,0.66,6.63,1.73
1995,27.90,0.68,7.05,1.81
1996,28.74,0.75,7.88,1.84
1997,27.14,0.81,7.50,1.80
1998,27.10,0.84,8.46,1.90
1999,28.26,0.91,8.98,2.03
2000,30.34,0.94,9.65,2.00
2001,31.93,1.02,9.88,2.64
2002,34.29,1.11,10.67,2.80
2003,41.04,1.19,11.85,2.88
2004,47.42,1.41,14.00,3.61
2005,54.44,1.73,14.28,4.12
2006,60.57,2.08,15.33,4.46
2007,65.01,2.60,16.19,4.99
2008,67.32,2.85,16.46,6.29
2009,72.79,3.27,17.35,7.03
2010,78.15,3.94,19.04,8.23
2011,87.10,4.83,20.49,8.41
2012,92.18,5.30,21.56,10.37
2013,94.99,6.02,22.51,11.52
2014,93.45,6.69,23.56,13.20
2015,90.83,7.04,24.95,14.37
2016,89.94,7.64,25.69,15.92
