Year,Coal,Gas,Oil,Renewable
1980,1.81,0.06,1.37,0.52
1981,2.04,0.07,1.55,0.55
1982,2.18,0.10,1.56,0.53
1983,2.31,0.12,1.63,0.56
1984,2.51,0.13,1.74,0.60
1985,2.63,0.15,1.87,0.58
1986,2.84,0.21,1.99,0.61
1987,3.07,0.26,2.07,0.55
1988,3.28,0.36,2.29,0.66
1989,3.49,0.36,2.40,0.69
1990,3.74,0.46,2.44,0.81
1991,4.02,0.52,2.48,0.82
1992,4.25,0.55,2.66,0.80
1993,4.47,0.61,2.73,0.80
1994,4.70,0.68,2.94,0.93
1995,5.00,0.72,3.27,0.87
1996,5.26,0.72,3.48,0.84
1997,5.47,0.74,3.66,0.96
1998,5.51,0.79,3.66,1.02
1999,5.84,0.78,4.04,1.05
2000,6.06,0.74,4.71,1.03
2001,6.25,0.73,4.72,1.08
2002,6.52,0.95,4.90,1.03
2003,6.72,1.00,5.05,1.12
2004,7.49,1.13,5.27,1.21
2005,7.93,1.32,5.28,1.42
2006,8.46,1.42,5.74,1.61
2007,9.26,1.55,6.13,1.73
2008,9.59,1.62,6.34,1.61
2009,10.14,2.00,6.41,1.64
2010,10.89,2.43,6.60,1.74
2011,11.59,2.41,6.92,2.10
2012,13.73,2.24,7.30,2.03
2013,14.24,1.98,7.34,2.31
2014,15.57,1.93,7.67,2.38
2015,15.82,1.87,8.44,2.36
2016,15.47,2.04,8.93,2.60
