Year,Coal,Gas,Oil,Renewable
1980,0.00,0.00,0.00,0.00
1981,0.00,0.00,0.00,0.00
1982,0.00,0.00,0.00,0.00
1983,0.00,0.00,0.00,0.00
1984,0.00,0.00,0.00,0.00
1985,0.00,0.00,0.00,0.00
1986,0.00,0.00,0.00,0.00
1987,0.00,0.00,0.00,0.00
1988,0.00,0.00,0.00,0.00
1989,0.00,0.00,0.00,0.00
1990,0.00,0.00,0.00,0.00
1991,0.00,0.00,0.00,0.00
1992,7.35,16.61,9.32,2.98
1993,6.42,16.31,6.85,2.95
1994,5.71,15.34,5.55,2.72
1995,5.62,14.64,5.84,2.74
1996,5.55,13.20,5.68,2.62
1997,5.20,12.41,5.43,2.65
1998,4.89,12.72,5.15,2.60
1999,5.10,12.70,5.28,2.76
2000,5.28,13.18,5.61,2.95
2001,5.25,13.02,5.76,3.08
2002,5.12,13.69,5.61,3.02
2003,5.15,14.33,5.67,2.99
2004,4.96,14.95,5.63,3.14
2005,4.90,14.70,5.67,3.13
2006,4.97,15.62,5.87,3.22
2007,4.78,15.62,5.74,3.25
2008,5.18,15.95,6.00,3.17
2009,4.55,13.86,5.68,3.29
2010,4.75,16.76,6.08,3.28
2011,4.93,17.31,6.45,3.30
2012,5.15,16.99,6.54,3.30
2013,4.58,16.73,6.86,3.40
2014,4.44,16.64,7.44,3.45
2015,5.00,15.94,7.15,3.47
2016,4.75,15.89,7.23,3.61
