Year,Coal,Gas,Oil,Renewable
1980,15.42,20.24,34.41,8.00
1981,15.91,19.75,32.06,8.51
1982,15.32,18.36,30.38,9.17
1983,15.89,17.22,30.21,9.77
1984,17.07,18.39,31.19,10.07
1985,17.48,17.70,31.06,10.23
1986,17.26,16.59,32.69,10.54
1987,18.01,17.64,33.36,10.47
1988,18.85,18.45,34.74,11.12
1989,19.07,19.60,34.68,11.83
1990,19.17,19.60,34.06,12.09
1991,18.99,20.03,33.44,12.49
1992,19.12,20.71,34.13,12.34
1993,19.84,21.23,34.46,12.52
1994,19.91,21.73,35.34,12.78
1995,20.09,22.67,35.29,13.71
1996,21.00,23.08,36.57,14.17
1997,21.45,23.22,37.07,13.67
1998,21.66,22.83,37.71,13.60
1999,21.62,22.91,38.84,14.16
2000,22.58,23.82,39.34,14.01
2001,21.91,22.77,39.15,13.14
2002,21.90,23.51,39.28,13.83
2003,22.32,22.83,39.86,13.73
2004,22.47,22.92,41.41,14.17
2005,22.80,22.57,41.48,14.17
2006,22.45,22.24,41.21,14.48
2007,22.75,23.66,41.20,14.48
2008,22.39,23.84,38.89,14.89
2009,19.69,23.42,37.24,15.07
2010,20.83,24.57,38.08,15.56
2011,19.66,24.95,37.51,16.33
2012,17.38,26.09,36.76,15.85
2013,18.04,26.81,37.52,16.57
2014,18.00,27.38,37.86,16.92
2015,15.55,28.19,38.68,16.81
2016,14.23,28.40,39.12,17.41
